UniprotID,symbol,BL1,BL2,BL3,BL4,BL5,BL6,BL7,BL8,BL9,BL10,AMS1,AMS2,AMS3,AMS4,AMS5,AMS6,AMS7,AMS8,AMS9,AMS10
P20711,DDC,5.64635,3.99371,,6.16518,6.00702,4.8657,5.45691,5.9344,6.19297,,5.77553,4.3183,,6.02123,5.00992,4.64844,6.17157,5.50401,5.01385,
Q9Y6D9,MAD1L1,1.33124,1.57579,1.89009,1.13174,1.52726,1.77582,1.37388,1.51106,0.88117,1.26185,1.26499,2.08033,1.44699,1.4054,1.07852,1.70286,1.08501,2.5193,1.25601,1.95401
P15311,EZR,4.28408,4.19232,4.07155,4.07907,4.21067,4.06497,4.30797,4.2604,3.95427,4.39974,4.25671,4.31062,4.04122,4.21502,3.91311,4.27621,4.38795,4.40534,4.17879,4.3288
P52888,THOP1,5.33064,4.72348,,5.48531,5.06361,4.05198,5.22201,5.15915,5.1138,,4.98169,4.84825,,4.92254,4.143,4.71433,5.67163,5.12116,3.96779,
P51161,FABP6,1.58763,1.04996,1.56335,1.55936,1.33081,2.14999,2.49743,0.73244,1.10227,1.33006,2.06391,0.96293,2.37333,1.73254,1.64332,1.42429,2.4248,1.55698,0.75651,1.44838
Q15846,CLUL1,4.37791,3.43729,,5.63909,4.23173,3.78817,4.09903,4.50305,4.48394,,4.19176,3.49013,,5.24486,3.99391,2.97416,4.85024,4.63733,3.81231,
Q13275,SEMA3F,1.85083,1.7546,,2.4745,2.46176,1.51177,2.26954,2.20759,2.23641,,2.07076,1.94484,,2.20744,2.1187,2.47602,3.24603,2.42285,1.79415,
Q8N423,LILRB2,,3.03342,2.43338,2.15308,2.64301,2.61153,2.48579,2.45703,2.58928,2.14529,,3.12266,2.52425,2.55567,2.48198,2.55529,2.64944,2.80758,2.20993,2.35643
P08887,IL6R,12.20602,11.60616,12.2667,11.93077,12.21994,11.89081,11.68614,12.14045,12.30923,12.66138,12.13215,11.94576,12.24135,12.27269,12.46639,11.61491,11.53716,12.52833,12.02918,12.95849
Q15582,TGFBI,,9.54235,9.34903,9.34109,9.51859,9.66436,9.58646,9.4099,9.3429,9.65909,,9.68013,9.40203,9.84464,9.25671,9.66987,9.62862,10.0184,9.02907,9.75507
P05556,ITGB1,6.67339,6.6228,7.10514,6.40804,6.9721,6.09854,6.63826,6.51301,6.5231,6.49367,6.98595,6.6683,6.53724,6.66503,6.81083,6.30967,6.72257,7.06304,6.72288,6.47043
Q9UBG0,MRC2,2.66435,2.14996,1.67961,2.12084,2.38398,2.11714,2.43627,2.24019,1.93117,2.27138,2.50925,2.2334,2.02391,2.33507,2.28174,2.19795,2.40052,2.38629,1.72769,2.41366
P01275,GCG,0.92615,0.65296,1.00766,1.59761,2.6438,1.94205,2.48571,0.65296,1.56918,0.65296,0.93022,1.55474,0.65296,1.04504,2.12589,1.35778,2.36901,0.65296,0.65296,1.16668
O94760,DDAH1,2.35021,1.77709,1.78461,1.70622,2.55358,3.00178,1.68808,1.66963,2.49752,1.51369,1.66196,1.71164,1.73148,1.8361,1.82861,2.01789,1.36964,2.70039,1.26151,2.26346
Q01973,ROR1,2.16129,1.75441,,2.9887,2.86284,1.90551,2.26179,2.25954,2.88778,,1.97834,1.79017,,2.40493,2.25885,1.71128,3.11247,2.35584,2.04337,
P01298,PPY,9.57264,6.81549,8.45019,9.5598,9.23381,7.73372,10.83679,7.29367,7.82135,8.89358,8.49652,8.10281,8.74736,8.0043,8.44035,7.81662,9.03538,7.44005,7.99592,9.24754
P35590,TIE1,,1.90676,1.62227,1.47125,1.70875,1.72297,1.5164,1.28708,1.61591,0.97294,,1.85149,1.86839,1.79644,1.57998,1.57087,1.47185,1.77599,1.425,1.16007
Q8TAD2,IL17D,1.90585,1.50585,1.32369,1.63532,1.88529,1.12223,1.88682,1.59264,1.96936,1.5923,1.81996,1.92132,1.7072,1.7663,1.45757,1.59433,1.83376,1.79554,1.63218,1.78927
Q01543,FLI1,1.86123,1.62552,5.40647,1.91913,1.81869,1.68893,3.4421,2.3023,2.23984,0.89571,1.77726,2.38546,1.69323,2.15447,2.50681,4.7785,2.06387,6.70739,1.41776,5.17384
